#,Produit,Marque,Catégorie,Tier,Actif,Prix $,Note,Avis,BSR,Acheté/mois,Ingrédients?,ASIN
1,CeraVe Foaming Facial Cleanser,CeraVe,Nettoyant,éco,niacinamide/céramides,15.97,4.8,102671,46,30K+ bought in past month,oui,B01N1LL62W
2,The Ordinary Squalane Cleanser,DECIEM,Nettoyant,éco,squalane,10.5,4.6,5888,2749,3K+ bought in past month,non,B07PSKR85S
3,Cetaphil Gentle Skin Cleanser,Cetaphil,Nettoyant,éco,doux,20.99,4.5,312,358174,,oui,B00IMM9Q62
4,CeraVe Hydrating Facial Cleanser,CeraVe,Nettoyant,éco,céramides,13.49,4.7,131467,35,70K+ bought in past month,oui,B01MSSDEPK
5,Vanicream Gentle Facial Cleanser,Vanicream,Nettoyant,éco,sans parfum,9.97,4.7,34109,42,80K+ bought in past month,oui,B00QY1XZ4W
6,Neutrogena Hydro Boost Cleansing Gel,Johnson & Johnson,Nettoyant,éco,acide hyaluronique,19.99,4.7,24707,40902,100+ bought in past month,oui,B01LETURZI
7,La Roche-Posay Effaclar Purifying Gel,La Roche Posay,Nettoyant,moyen,zinc,18.73,4.7,54610,1609,8K+ bought in past month,non,B003JSEGNC
8,LRP Toleriane Hydrating Gentle Cleanser,La Roche-Posay,Nettoyant,moyen,céramides/niacinamide,14.98,4.6,38786,47,50K+ bought in past month,non,B01N7T7JKJ
9,Paula's Choice CLEAR Pore Normalizing Cleanser,Paula's Choice,Nettoyant,moyen,acide salicylique,16.78,4.6,6973,2921,10K+ bought in past month,non,B06ZYNQZKF
10,First Aid Beauty Ultra Gentle Cleanser,FIRST AID BEAUTY,Nettoyant,moyen,avoine colloïdale,12,4.6,2167,4171,1K+ bought in past month,non,B0FY763X7R
11,Bioderma Sébium Gel Moussant,Bioderma,Nettoyant,moyen,zinc/cuivre,13.99,4.6,21655,11165,100+ bought in past month,non,B000TUNMW4
12,Krave Beauty Matcha Hemp Cleanser,KRAVEBEAUTY,Nettoyant,moyen,matcha,12,4.6,822,6701,2K+ bought in past month,oui,B0BZ9KMY3S
13,Fresh Soy Face Cleanser,Fresh,Nettoyant,premium,doux,72,4.5,102,77100,100+ bought in past month,non,B08GN1K8X6
14,Drunk Elephant Beste No.9 Jelly Cleanser,Drunk Elephant,Nettoyant,premium,doux,36,4.7,2707,23249,600+ bought in past month,non,B076639783
15,Youth To The People Superfood Cleanser,Youth To The People,Nettoyant,premium,antioxydants,27.3,4.6,10020,1201,9K+ bought in past month,non,B018A0BO92
16,CeraVe Moisturizing Cream,CeraVe,Hydratant / Crème,éco,céramides,16.2,4.7,145069,41,90K+ bought in past month,oui,B00TTD9BRC
17,CeraVe PM Facial Moisturizing Lotion,CeraVe,Hydratant / Crème,éco,niacinamide/céramides,14.97,4.7,62188,61,80K+ bought in past month,oui,B00365DABC
18,Cetaphil Moisturizing Cream,Galderma,Hydratant / Crème,éco,doux,8.35,4.8,39122,49,4K+ bought in past month,oui,B00BMJTOZK
19,Vanicream Moisturizing Cream,Vanicream,Hydratant / Crème,éco,sans parfum,13.56,4.6,49307,150,50K+ bought in past month,oui,B000NWGCZ2
20,Neutrogena Hydro Boost Water Gel,Kenvue,Hydratant / Crème,éco,acide hyaluronique,24.99,4.6,88231,6909,700+ bought in past month,oui,B00NR1YQHM
21,LRP Toleriane Double Repair Moisturizer,La Roche-Posay,Hydratant / Crème,moyen,céramides/niacinamide,18.75,4.6,49818,22,100K+ bought in past month,oui,B01N9SPQHQ
22,First Aid Beauty Ultra Repair Cream,FIRST AID BEAUTY,Hydratant / Crème,moyen,avoine colloïdale,29.4,4.6,18940,1662,4K+ bought in past month,non,B0FY3Q2F2M
23,Paula's Choice CLEAR Oil-Free Moisturizer,Paula's Choice,Hydratant / Crème,moyen,niacinamide,27.28,4.6,1991,7866,3K+ bought in past month,non,B07HZWXGJ7
24,Kiehl's Ultra Facial Cream,Kiehl's Since 1851,Hydratant / Crème,moyen,squalane,50.4,4.7,7553,778,3K+ bought in past month,non,B00C6SV33M
25,Clinique Dramatically Different Moisturizing Gel,Clinique,Hydratant / Crème,moyen,acide hyaluronique,11.9,4.7,5024,3761,900+ bought in past month,non,B000WZAL5M
26,Avène Tolerance Control Cream,Eau Thermale Avene,Hydratant / Crème,moyen,barrière/postbiotique,26.6,4.6,2453,3456,6K+ bought in past month,non,B08XYV3YGB
27,Belif Aqua Bomb (ex « True Cream Aqua Bomb »),LG HOUSEHOLD&HEALTHCARE LTD.,Hydratant / Crème,premium,acide hyaluronique,16.8,4.7,1926,3819,600+ bought in past month,oui,B0CRS3433N
28,Tatcha The Water Cream,Tatcha,Hydratant / Crème,premium,botaniques japonais,59.2,4.6,4673,6956,1K+ bought in past month,non,B072NNC2LR
29,Drunk Elephant Lala Retro Whipped Cream,Drunk Elephant,Hydratant / Crème,premium,céramides,52.8,4.4,2058,19679,500+ bought in past month,non,B01J1ZBJSG
30,Weleda Skin Food,Weleda,Hydratant / Crème,éco,baume riche,15.99,4.5,35146,1529,10K+ bought in past month,oui,B000ORV3NC
31,CeraVe Hydrating Mineral Sunscreen SPF 30 (Face),CeraVe,SPF,éco,minéral,13.97,4.2,9198,8678,1K+ bought in past month,oui,B07KL5K96X
32,Neutrogena Ultra Sheer Dry-Touch SPF 70,Kenvue,SPF,éco,chimique,9.88,4.5,38826,75,100K+ bought in past month,oui,B005IHT94S
33,Beauty of Joseon Relief Sun SPF 50,Q.Z.Art,SPF,éco,chimique léger,8.99,4.3,146,58540,200+ bought in past month,oui,B0CW1D1LS8
34,Black Girl Sunscreen SPF 30,BLACK GIRL SUNSCREEN,SPF,éco,chimique (no white cast),9.99,4.7,8727,240,30K+ bought in past month,oui,B0CV9R8DTK
35,Vanicream Facial Moisturizer SPF 30,Pharmaceutical Specialties Inc.,SPF,éco,minéral sans parfum,13.97,4.5,4150,876,10K+ bought in past month,oui,B09VLLZM3N
36,LRP Anthelios Melt-in Milk SPF 60,La Roche-Posay,SPF,moyen,chimique,28.49,4.6,14895,584,10K+ bought in past month,non,B002CML1VG
37,EltaMD UV Clear SPF 46,EltaMD,SPF,moyen,niacinamide (hybride),45,4.5,69115,14,80K+ bought in past month,oui,B002MSN3QQ
38,LRP Anthelios Tinted Mineral Sunscreen,La Roche Posay,SPF,moyen,minéral teinté,29.98,4.4,31521,205,4K+ bought in past month,non,B0CZP6FLPK
39,EltaMD UV Daily Tinted SPF 40,EltaMD Skin Care,SPF,moyen,teinté,,4.6,43801,97,,non,B0D1YQ9881
40,Supergoop! Unseen Sunscreen,Supergoop! LLC,SPF,premium,chimique invisible,24.7,4.6,19185,291,20K+ bought in past month,non,B0DPNL864S
41,ISDIN Eryfotona Actinica SPF 50,ISDIN,SPF,premium,minéral,51.1,4.6,5509,2780,2K+ bought in past month,non,B07RXS4FQM
