#,Produit,Catégorie,Prix,Note,Avis,BSR,Actifs,Cibles,Types de peau,Moment,Fréquence,Grossesse,Sensible,Irritation,Force,Preuve,Sans parfum,Image
1,CeraVe Foaming Facial Cleanser,nettoyant,15.97,4.8,102671,46,niacinamide/céramides,"flaking, pores, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/001_B01N1LL62W.png
2,The Ordinary Squalane Cleanser,nettoyant,10.5,4.6,5888,2749,squalane,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/002_B07PSKR85S.png
3,Cetaphil Hydrating Gentle Skin Cleanser,nettoyant,9.99,4.7,15274,265,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/003_B099N3NM61.png
4,CeraVe Hydrating Facial Cleanser,nettoyant,13.49,4.7,131467,35,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/004_B01MSSDEPK.png
5,Vanicream Gentle Facial Cleanser,nettoyant,9.97,4.7,34109,42,sans parfum,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/005_B00QY1XZ4W.png
6,Neutrogena Hydro Boost Cleansing Gel,nettoyant,19.99,4.7,24707,40902,acide hyaluronique,flaking,"normale, seche",both,daily,ok,ok,0,1,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/006_B01LETURZI.png
7,La Roche-Posay Effaclar Purifying Gel,nettoyant,18.73,4.7,54610,1609,zinc,"acne, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/007_B003JSEGNC.png
8,LRP Toleriane Hydrating Gentle Cleanser,nettoyant,14.98,4.6,38786,47,céramides/niacinamide,"flaking, pores, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/008_B01N7T7JKJ.png
9,Paula's Choice CLEAR Pore Normalizing Cleanser,nettoyant,16.78,4.6,6973,2921,acide salicylique,"acne, comedones, pores, shine","grasse, mixte",both,daily,⛔ non,⚠ non,1,3,5,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/009_B06ZYNQZKF.png
10,First Aid Beauty Ultra Gentle Cleanser,nettoyant,12,4.6,2167,4171,avoine colloïdale,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/010_B0FY763X7R.png
11,Bioderma Sébium Gel Moussant,nettoyant,13.99,4.6,21655,11165,zinc/cuivre,"acne, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/011_B000TUNMW4.png
12,Krave Beauty Matcha Hemp Cleanser,nettoyant,12,4.6,822,6701,matcha,"flaking, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/012_B0BZ9KMY3S.png
13,Fresh Soy Face Cleanser,nettoyant,72,4.5,102,77100,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/013_B08GN1K8X6.png
14,Drunk Elephant Beste No.9 Jelly Cleanser,nettoyant,36,4.7,2707,23249,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/014_B076639783.png
15,Youth To The People Superfood Cleanser,nettoyant,27.3,4.6,10020,1201,antioxydants,"pores, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/015_B018A0BO92.png
16,CeraVe Moisturizing Cream,hydratant,16.2,4.7,145069,41,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/016_B00TTD9BRC.png
17,CeraVe PM Facial Moisturizing Lotion,hydratant,14.97,4.7,62188,61,niacinamide/céramides,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/017_B00365DABC.png
18,Cetaphil Moisturizing Cream,hydratant,8.35,4.8,39122,49,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/018_B00BMJTOZK.png
19,Vanicream Moisturizing Cream,hydratant,13.56,4.6,49307,150,sans parfum,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/019_B000NWGCZ2.png
20,Neutrogena Hydro Boost Water Gel,hydratant,24.99,4.6,88231,6909,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/020_B00NR1YQHM.png
21,LRP Toleriane Double Repair Moisturizer,hydratant,18.75,4.6,49818,22,céramides/niacinamide,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/021_B01N9SPQHQ.png
22,First Aid Beauty Ultra Repair Cream,hydratant,29.4,4.6,18940,1662,avoine colloïdale,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/022_B0FY3Q2F2M.png
23,Paula's Choice CLEAR Oil-Free Moisturizer,hydratant,27.28,4.6,1991,7866,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,daily,ok,ok,0,2,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/023_B07HZWXGJ7.png
24,Kiehl's Ultra Facial Cream,hydratant,50.4,4.7,7553,778,squalane,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/024_B00C6SV33M.png
25,Clinique Dramatically Different Moisturizing Gel,hydratant,11.9,4.7,5024,3761,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/025_B000WZAL5M.png
26,Avène Tolerance Control Cream,hydratant,26.6,4.6,2453,3456,barrière/postbiotique,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/026_B08XYV3YGB.png
27,Belif Aqua Bomb (ex « True Cream Aqua Bomb »),hydratant,16.8,4.7,1926,3819,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/027_B0CRS3433N.png
28,Tatcha The Water Cream,hydratant,59.2,4.6,4673,6956,botaniques japonais,"flaking, radiance","normale, seche",both,daily,ok,ok,0,1,3,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/028_B072NNC2LR.png
29,Drunk Elephant Lala Retro Whipped Cream,hydratant,52.8,4.4,2058,19679,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,?,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/029_B01J1ZBJSG.png
30,Weleda Skin Food,hydratant,15.99,4.5,35146,1529,baume riche,flaking,"normale, seche",both,daily,ok,ok,0,1,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/030_B000ORV3NC.png
31,CeraVe Hydrating Mineral Sunscreen SPF 30 (Face),spf,13.97,4.2,9198,8678,minéral,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/031_B07KL5K96X.png
32,Neutrogena Ultra Sheer Dry-Touch SPF 70,spf,9.88,4.5,38826,75,chimique,tone_evenness,tous,am,daily,ok,ok,0,1,3,non,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/032_B005IHT94S.png
33,Beauty of Joseon Relief Sun SPF 50,spf,8.99,4.3,146,58540,chimique léger,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/033_B0CW1D1LS8.png
34,Black Girl Sunscreen SPF 30,spf,9.99,4.7,8727,240,chimique (no white cast),tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/034_B0CV9R8DTK.png
